run_id,client,cl_batch,size
20251125-094925,0,1,5242
20251125-094925,0,2,1001
20251125-094925,0,3,1001
20251125-094925,0,4,1001
20251125-094925,0,5,1001
20251125-094925,0,6,1001
20251125-094925,0,7,1003
20251125-094925,1,1,5242
20251125-094925,1,2,1001
20251125-094925,1,3,1001
20251125-094925,1,4,1001
20251125-094925,1,5,1001
20251125-094925,1,6,1001
20251125-094925,1,7,1003
20251125-094925,2,1,5242
20251125-094925,2,2,1001
20251125-094925,2,3,1001
20251125-094925,2,4,1001
20251125-094925,2,5,1001
20251125-094925,2,6,1001
20251125-094925,2,7,1003
20251125-094925,3,1,5242
20251125-094925,3,2,1001
20251125-094925,3,3,1001
20251125-094925,3,4,1001
20251125-094925,3,5,1001
20251125-094925,3,6,1001
20251125-094925,3,7,1003
