run_id,client,cl_batch,size
20251120-093528,0,1,5242
20251120-093528,0,2,1001
20251120-093528,0,3,1001
20251120-093528,0,4,1001
20251120-093528,0,5,1001
20251120-093528,0,6,1001
20251120-093528,0,7,1003
20251120-093528,1,1,5242
20251120-093528,1,2,1001
20251120-093528,1,3,1001
20251120-093528,1,4,1001
20251120-093528,1,5,1001
20251120-093528,1,6,1001
20251120-093528,1,7,1003
20251120-093528,2,1,5242
20251120-093528,2,2,1001
20251120-093528,2,3,1001
20251120-093528,2,4,1001
20251120-093528,2,5,1001
20251120-093528,2,6,1001
20251120-093528,2,7,1003
20251120-093528,3,1,5242
20251120-093528,3,2,1001
20251120-093528,3,3,1001
20251120-093528,3,4,1001
20251120-093528,3,5,1001
20251120-093528,3,6,1001
20251120-093528,3,7,1003
