run_id,client,cl_batch,size
20251125-111034,0,1,5242
20251125-111034,0,2,1001
20251125-111034,0,3,1001
20251125-111034,0,4,1001
20251125-111034,0,5,1001
20251125-111034,0,6,1001
20251125-111034,0,7,1003
20251125-111034,1,1,5242
20251125-111034,1,2,1001
20251125-111034,1,3,1001
20251125-111034,1,4,1001
20251125-111034,1,5,1001
20251125-111034,1,6,1001
20251125-111034,1,7,1003
20251125-111034,2,1,5242
20251125-111034,2,2,1001
20251125-111034,2,3,1001
20251125-111034,2,4,1001
20251125-111034,2,5,1001
20251125-111034,2,6,1001
20251125-111034,2,7,1003
20251125-111034,3,1,5242
20251125-111034,3,2,1001
20251125-111034,3,3,1001
20251125-111034,3,4,1001
20251125-111034,3,5,1001
20251125-111034,3,6,1001
20251125-111034,3,7,1003
