run_id,client,cl_batch,size
20260223-131729,0,1,5242
20260223-131729,0,2,1001
20260223-131729,0,3,1001
20260223-131729,0,4,1001
20260223-131729,0,5,1001
20260223-131729,0,6,1001
20260223-131729,0,7,1003
20260223-131729,1,1,5242
20260223-131729,1,2,1001
20260223-131729,1,3,1001
20260223-131729,1,4,1001
20260223-131729,1,5,1001
20260223-131729,1,6,1001
20260223-131729,1,7,1003
20260223-131729,2,1,5242
20260223-131729,2,2,1001
20260223-131729,2,3,1001
20260223-131729,2,4,1001
20260223-131729,2,5,1001
20260223-131729,2,6,1001
20260223-131729,2,7,1003
20260223-131729,3,1,5242
20260223-131729,3,2,1001
20260223-131729,3,3,1001
20260223-131729,3,4,1001
20260223-131729,3,5,1001
20260223-131729,3,6,1001
20260223-131729,3,7,1003
