run_id,client,cl_batch,size
20260222-140712,0,1,5242
20260222-140712,0,2,1001
20260222-140712,0,3,1001
20260222-140712,0,4,1001
20260222-140712,0,5,1001
20260222-140712,0,6,1001
20260222-140712,0,7,1003
20260222-140712,1,1,5242
20260222-140712,1,2,1001
20260222-140712,1,3,1001
20260222-140712,1,4,1001
20260222-140712,1,5,1001
20260222-140712,1,6,1001
20260222-140712,1,7,1003
20260222-140712,2,1,5242
20260222-140712,2,2,1001
20260222-140712,2,3,1001
20260222-140712,2,4,1001
20260222-140712,2,5,1001
20260222-140712,2,6,1001
20260222-140712,2,7,1003
20260222-140712,3,1,5242
20260222-140712,3,2,1001
20260222-140712,3,3,1001
20260222-140712,3,4,1001
20260222-140712,3,5,1001
20260222-140712,3,6,1001
20260222-140712,3,7,1003
