run_id,client,cl_batch,size
20251125-085014,0,1,5242
20251125-085014,0,2,1001
20251125-085014,0,3,1001
20251125-085014,0,4,1001
20251125-085014,0,5,1001
20251125-085014,0,6,1001
20251125-085014,0,7,1003
20251125-085014,1,1,5242
20251125-085014,1,2,1001
20251125-085014,1,3,1001
20251125-085014,1,4,1001
20251125-085014,1,5,1001
20251125-085014,1,6,1001
20251125-085014,1,7,1003
20251125-085014,2,1,5242
20251125-085014,2,2,1001
20251125-085014,2,3,1001
20251125-085014,2,4,1001
20251125-085014,2,5,1001
20251125-085014,2,6,1001
20251125-085014,2,7,1003
20251125-085014,3,1,5242
20251125-085014,3,2,1001
20251125-085014,3,3,1001
20251125-085014,3,4,1001
20251125-085014,3,5,1001
20251125-085014,3,6,1001
20251125-085014,3,7,1003
