run_id,client,cl_batch,size
20251120-212738,0,1,5242
20251120-212738,0,2,1001
20251120-212738,0,3,1001
20251120-212738,0,4,1001
20251120-212738,0,5,1001
20251120-212738,0,6,1001
20251120-212738,0,7,1003
20251120-212738,1,1,5242
20251120-212738,1,2,1001
20251120-212738,1,3,1001
20251120-212738,1,4,1001
20251120-212738,1,5,1001
20251120-212738,1,6,1001
20251120-212738,1,7,1003
20251120-212738,2,1,5242
20251120-212738,2,2,1001
20251120-212738,2,3,1001
20251120-212738,2,4,1001
20251120-212738,2,5,1001
20251120-212738,2,6,1001
20251120-212738,2,7,1003
20251120-212738,3,1,5242
20251120-212738,3,2,1001
20251120-212738,3,3,1001
20251120-212738,3,4,1001
20251120-212738,3,5,1001
20251120-212738,3,6,1001
20251120-212738,3,7,1003
